,silhouette_score
100201,-0.8258258583712869
100206,-0.8135516904179225
100210,-0.8430017015789242
100213,-0.7819728432572088
100216455,-0.8821762972913098
100216474,-0.9284830748301092
100226,-0.634953461036878
100233175,-0.7495188528001622
100233207,-0.7238914944631327
100233208,-0.8146989110183568
100270744,-0.8731086074412789
100271704,-0.9265135084007342
100273,-0.5686145227048215
100294583,-0.9044952761878172
100294660,-0.1113228550812408
100302688,-0.8411705773737108
100303732,-0.7079951915371238
100303744,-0.8047381885096562
100310872,-0.5767358933789474
100312470,-0.8706669850420296
100312471,-0.7390393810742917
100312473,-0.9053866282507786
100312474,-0.6798592252653887
100312475,-0.6381146183709937
100312476,-0.6892933516943774
100312477,-0.4254201299698297
100312484,-0.5532029212067424
100312948,-0.6030946007122444
100312949,-0.4979202084939951
100312956,-0.8433280056526807
100312986,-0.3929869961097577
100312987,-0.896701034509455
100317,-0.5940572609002732
100322896,-0.8009810308773225
100328588,-0.5108035235135938
100336,-0.6088241206557232
100340,-0.7384554778627503
100342,-0.93308893674862
100383,-0.5902279602860342
100384868,-0.4973560290973223
100415785,-0.1804651666409416
100416706,-0.8001207776266928
100434,-0.6789827691171096
100463512,-0.7059816411768925
100465,-0.8573279131489744
100470,-0.9127235744286176
100494,-0.6729198217705673
100502698,-0.6083956467426647
100502723,-0.4761911104832872
100502736,-0.9007254165640318
100502766,-0.8458461451026676
100502803,-0.5578688332051756
100502831,-0.448153147288483
100502841,-0.7860669684002605
100502861,-0.8953923706092606
100502865,-0.3343189947693568
100502876,-0.8617838103661563
100502887,-0.7737584268516566
100502921,-0.7740583149369741
100502936,-0.733799350970562
100502940,-0.9339828726589282
100502950,-0.8490568605825073
100502953,-0.5595234302220827
100502967,-0.8815841263883861
100503036,-0.7654399040037022
100503041,-0.7938915017922531
100503043,-0.8388288646116925
100503085,-0.7541215030770131
100503185,-0.7286366888281139
100503240,-0.8834847482787096
100503311,-0.8507601648876183
100503353,-0.7074909987307378
100503355,-0.6545320103521723
100503361,-0.9377514599450384
100503386,-0.8095144196394677
100503388,-0.7262506471662213
100503486,0.0019898158021658
100503545,-0.8659123837399237
100503549,-0.8587505610436852
100503572,-0.6101918088532148
100503583,-0.9084783168440664
100503584,-0.799622811376083
100503605,-0.9127220212968222
100503609,-0.901118938930928
100503659,-0.653087933396475
100503670,-0.4788917231632132
100503710,-0.7276433778652197
100503879,-0.8569587926404105
100503884,-0.7844795275886901
100503890,-0.6226765190669583
100503915,-0.8437795305238014
100503949,-0.7180955997317487
100503970,-0.8577219450351493
100503991,-0.6433685590730391
100503992,0.1025697623393536
100504014,-0.6359629396123166
100504112,-0.7775114119339707
100504156,-0.6511475426825404
100504162,-0.900802509609203
100504164,-0.7060166071939007
100504183,-0.1664985521993243
100504195,-0.8295677105476997
100504232,-0.6078697985329305
100504234,-0.8611768792043539
100504239,-0.8980421735657829
100504263,-0.7653725274836606
100504285,-0.8083643800857743
100504346,-0.8982208052744
100504362,
100504400,-0.0652509402130926
100504429,-0.8954880353651353
100504446,-0.7756389274772066
100504474,-0.8948220185352639
100504491,-0.5934105372733289
100504518,-0.8195266394587288
100504608,-0.548009310136431
100504663,-0.6439463336326192
100504689,-0.908585352361286
100504710,-0.8427174969196662
100504715,-0.9112451713686368
100505096,-0.0957010587098757
100505386,-0.6244684260926762
100515,-0.8162887517691336
100529082,-0.6563577543533339
100532,-0.7056777355123509
100534273,-0.8102260165581028
100535,-0.9091493299146112
100554,-0.7501920219630178
100559,-0.8866160035018616
100561,-0.8181588700986849
100604,-0.8284834036808878
100608,-0.7992949271813651
100609,-0.6634983934829964
100637,-0.8271280984981642
100647,-0.8364384787065031
100678,-0.8174243740098933
100683,-0.7007219779282129
100689,-0.8726051011554076
100702,-0.916470590111482
100705,-0.7546805661527778
100710,-0.6904785056492112
100715,-0.6282270371941143
100727,-0.8890256201421841
100732,-0.7334960459737913
100737,-0.7492298338315898
100756,-0.8054680887988221
100763,-0.6308264983192279
100764,-0.8358426713344258
100855,-0.5962011118339856
100859931,-0.5985363508658762
100861615,-0.834990125083821
100861668,-0.7638728281449237
100861753,-0.6497066508423567
100861755,-0.8778563161092149
100861901,-0.8994181029582677
100861908,-0.8527982799193737
100861909,-0.8947044401152033
100861966,-0.6026850107218955
100862126,-0.1465728126778717
100862177,-0.899739057460877
100862247,-0.7987444861236785
100862314,-0.6949025345733734
100862329,-0.6651620381216474
100862359,-0.8742915313034448
100862365,-0.8950068964085367
100862383,-0.7901290528753444
100862394,-0.8331595187705289
100862398,-0.8348505542691592
100900,-0.7935426125831407
100910,-0.6821068288570972
100929,-0.620159706141731
100952,-0.7986803563624583
100972,-0.6673395913291528
